filename,rank,keyword,score
"59765_Cítanka_pro_skoly_obecné._Díl_I_by_Jan_Stastný,_Jan_Lepar,_and_Josef_Sokol_-_Project_Gutenberg.txt",6,va,0.013821
"59765_Cítanka_pro_skoly_obecné._Díl_I_by_Jan_Stastný,_Jan_Lepar,_and_Josef_Sokol_-_Project_Gutenberg.txt",7,dě,0.012582
"59765_Cítanka_pro_skoly_obecné._Díl_I_by_Jan_Stastný,_Jan_Lepar,_and_Josef_Sokol_-_Project_Gutenberg.txt",8,lí,0.011411
"59765_Cítanka_pro_skoly_obecné._Díl_I_by_Jan_Stastný,_Jan_Lepar,_and_Josef_Sokol_-_Project_Gutenberg.txt",9,la,0.011357
"59765_Cítanka_pro_skoly_obecné._Díl_I_by_Jan_Stastný,_Jan_Lepar,_and_Josef_Sokol_-_Project_Gutenberg.txt",10,ci,0.011321
68828_Sto_jisker_ethických_by_Alexandr_Batěk_-_Project_Gutenberg.txt,1,dobro,0.014401
68828_Sto_jisker_ethických_by_Alexandr_Batěk_-_Project_Gutenberg.txt,2,práce,0.008669
68828_Sto_jisker_ethických_by_Alexandr_Batěk_-_Project_Gutenberg.txt,3,národ,0.008372
68828_Sto_jisker_ethických_by_Alexandr_Batěk_-_Project_Gutenberg.txt,4,sebe,0.008159
68828_Sto_jisker_ethických_by_Alexandr_Batěk_-_Project_Gutenberg.txt,5,třeba,0.006629
68828_Sto_jisker_ethických_by_Alexandr_Batěk_-_Project_Gutenberg.txt,6,musíme,0.006612
68828_Sto_jisker_ethických_by_Alexandr_Batěk_-_Project_Gutenberg.txt,7,pečuj,0.005424
68828_Sto_jisker_ethických_by_Alexandr_Batěk_-_Project_Gutenberg.txt,8,masaryk,0.005424
68828_Sto_jisker_ethických_by_Alexandr_Batěk_-_Project_Gutenberg.txt,9,payot,0.005424
68828_Sto_jisker_ethických_by_Alexandr_Batěk_-_Project_Gutenberg.txt,10,poslání,0.005143
